"id","name","image","addr"
83,Oasis Grill,https://s3-media3.fl.yelpcdn.com/bphoto/Sg5cz9hi_p6G22TFja2xRA/o.jpg,"91 Drumm St, San Francisco, CA 94111"
84,Golden Boy Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/FkqH-CWw5-PThWCF5NP2oQ/o.jpg,"542 Green St, San Francisco, CA 94133"
85,Hunan Home's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/mF9pWakxcd9CiASGYudeiQ/o.jpg,"622 Jackson St, San Francisco, CA 94133"
86,Buttermilk Southern Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/eb93JLNKVVFDDZWvmuyDHg/o.jpg,"2848 23rd St, San Francisco, CA 94110"
87,House Of Pancakes,https://s3-media2.fl.yelpcdn.com/bphoto/nETi95leLHeru07wiyzdvA/o.jpg,"937 Taraval St, San Francisco, CA 94116"
88,True Laurel,https://s3-media1.fl.yelpcdn.com/bphoto/w_XvnfNw3OX32r3n6ixKaA/o.jpg,"753 Alabama St, San Francisco, CA 94110"
89,Chong Qing Xiao Mian,https://s3-media1.fl.yelpcdn.com/bphoto/aNRhbwuJizSH2peqLhpZUw/o.jpg,"915 Kearny St, San Francisco, CA 94133"
90,Delarosa,https://s3-media2.fl.yelpcdn.com/bphoto/vm1P63l5F05yi47pgtCK9w/o.jpg,"2175 Chestnut St, San Francisco, CA 94123"
91,Per Diem,https://s3-media2.fl.yelpcdn.com/bphoto/fasctoQ1g492MXj4AZ3CuA/o.jpg,"43 Sutter St, San Francisco, CA 94104"
92,Nojo Ramen Tavern,https://s3-media1.fl.yelpcdn.com/bphoto/2F_5ddYUyg8rOHaJKVoCLw/o.jpg,"231 Franklin St, San Francisco, CA 94102"
93,Lao Table,https://s3-media2.fl.yelpcdn.com/bphoto/6rFLGagwN0xlVWKhCaYVAw/o.jpg,"149 2nd St, San Francisco, CA 94105"
94,Kitchen Story,https://s3-media2.fl.yelpcdn.com/bphoto/dYAt5bXNbIcOehZ483hJOw/o.jpg,"3499 16th St, San Francisco, CA 94114"
95,Lime Tree Southeast Asian Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/NKV6M2v8uTY3ZuvHB85-vA/o.jpg,"450 Irving St, San Francisco, CA 94122"
96,Ushio Ramen,https://s3-media2.fl.yelpcdn.com/bphoto/0s55pPkHgjkWYf1TfJrRxg/o.jpg,"3128 16th St, San Francisco, CA 94103"
97,Hook Fish,https://s3-media2.fl.yelpcdn.com/bphoto/0oZnjoK0BBuKhY_37t6OPg/o.jpg,"4542 Irving St, San Francisco, CA 94122"
98,Fillmore Social Club,https://s3-media2.fl.yelpcdn.com/bphoto/UxmoftDqkv3O_VR-ZGFrOg/o.jpg,"1521 Eddy St, San Francisco, CA 94115"
99,Swan Oyster Depot,https://s3-media4.fl.yelpcdn.com/bphoto/9KiEhRXlEhaVfW8pZDOinA/o.jpg,"1517 Polk St, San Francisco, CA 94109"
100,Anchor Oyster Bar,https://s3-media2.fl.yelpcdn.com/bphoto/-Zw6ivl7HlQ7ELe0OnPJFQ/o.jpg,"579 Castro St, San Francisco, CA 94114"
101,Ssisso,https://s3-media2.fl.yelpcdn.com/bphoto/raW-TxfLecjtuUdEK3tpdg/o.jpg,"1700A Post St, San Francisco, CA 94115"
102,Nopalito,https://s3-media4.fl.yelpcdn.com/bphoto/MNfC65dp-OiZiSce7j3yAw/o.jpg,"306 Broderick St, San Francisco, CA 94117"
103,Huli Huli Hawaiian Grill,https://s3-media1.fl.yelpcdn.com/bphoto/frxuD22cAtPE_Yn_LD55mA/o.jpg,"4100 3rd St, San Francisco, CA 94124"
104,Saucy Asian,https://s3-media1.fl.yelpcdn.com/bphoto/Yp5yUb1AfTdWoq90B3vYMQ/o.jpg,"3801 17th St, San Francisco, CA 94114"
105,Khamsa,https://s3-media2.fl.yelpcdn.com/bphoto/wlzExEmFObbw5qZly257jQ/o.jpg,"1503 15th St, San Francisco, CA 94103"
106,Stones Throw,https://s3-media2.fl.yelpcdn.com/bphoto/EB7CsMTKmX9D2tTzuu3bdQ/o.jpg,"1896 Hyde St, San Francisco, CA 94109"
107,Mac Daddy,https://s3-media2.fl.yelpcdn.com/bphoto/02eLVtQ6PhXKOUW6XN9khg/o.jpg,"1453 18th St, San Francisco, CA 94107"
108,Woodhouse Fish Company,https://s3-media1.fl.yelpcdn.com/bphoto/VW2sQJjK5czsG2ZPL18_zQ/o.jpg,"1914 Fillmore St, San Francisco, CA 94115"
109,Delfina,https://s3-media2.fl.yelpcdn.com/bphoto/0UbRqzsQZbGVj2QdCeb4cg/o.jpg,"3621 18th St, San Francisco, CA 94110"
110,Lers Ros,https://s3-media4.fl.yelpcdn.com/bphoto/13Nc-oeTitjbxTMd55ogcQ/o.jpg,"730 Larkin St, San Francisco, CA 94109"
111,El Techo,https://s3-media3.fl.yelpcdn.com/bphoto/fXfH9JxGjOGC5pdxkwyOiQ/o.jpg,"2518 Mission St, San Francisco, CA 94110"
112,Rove Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/COB2_0YdYHyX1264bexFLQ/o.jpg,"678 Post St, San Francisco, CA 94109"
113,Betty Lou's Seafood & Grill,https://s3-media4.fl.yelpcdn.com/bphoto/B0GJ-SfvL0Zxwb-LLn7uhg/o.jpg,"318 Columbus Ave, San Francisco, CA 94133"
114,āina,https://s3-media3.fl.yelpcdn.com/bphoto/f99_ujj6fYXchh6zAJM0YA/o.jpg,"900 22nd St, San Francisco, CA 94107"
115,Hazel Southern Bar & Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/XkqzgLNf8FOccPZG76QZqQ/o.jpg,"1446 Market St, San Francisco, CA 94102"
116,Souvla,https://s3-media1.fl.yelpcdn.com/bphoto/ZKZ8PfX7ptxX8kwuRP0nww/o.jpg,"517 Hayes St, San Francisco, CA 94102"
117,Chez Maman,https://s3-media4.fl.yelpcdn.com/bphoto/gccHe5ofFMpNyh8vmS0VSw/o.jpg,"1401 18th St, San Francisco, CA 94107"
118,Farallon,https://s3-media3.fl.yelpcdn.com/bphoto/hYLlc2N36J3ZEGCxFbx2cg/o.jpg,"450 Post St, San Francisco, CA 94102"
119,The Spice Jar,https://s3-media2.fl.yelpcdn.com/bphoto/zyyq36C4mWFl0uMfO6LRFQ/o.jpg,"2500 Bryant St, San Francisco, CA 94110"
120,Alba Ray's,https://s3-media1.fl.yelpcdn.com/bphoto/44QxorbHRjsrheYumF6MNA/o.jpg,"2293 Mission St, San Francisco, CA 94110"
121,Big Bad Wolf,https://s3-media4.fl.yelpcdn.com/bphoto/GXwoJFI99Hju3Y72U9xuAw/o.jpg,"1500 Sutter St, San Francisco, CA 94109"
122,Hillstone,https://s3-media4.fl.yelpcdn.com/bphoto/3hJ6yHzKFifGe2J32oiE0A/o.jpg,"1800 Montgomery St, San Francisco, CA 94111"
123,The Crew,https://s3-media2.fl.yelpcdn.com/bphoto/O-zYOYJtPaldODwIdBac1w/o.jpg,"1330 Noriega St, San Francisco, CA 94122"
124,Italian Homemade Company,https://s3-media1.fl.yelpcdn.com/bphoto/PHnJ_tB5HjE_bWUW6j2KrQ/o.jpg,"716 Columbus Ave, San Francisco, CA 94133"
125,District San Francisco,https://s3-media2.fl.yelpcdn.com/bphoto/2rkNbl_lHUsL6HHPxN2s-w/o.jpg,"216 Townsend St, San Francisco, CA 94107"
126,a Mano,https://s3-media2.fl.yelpcdn.com/bphoto/_4dCSv3MuAhNjGbdGm3ibw/o.jpg,"450 Hayes St, San Francisco, CA 94102"
127,Tadich Grill,https://s3-media2.fl.yelpcdn.com/bphoto/8LAVB6uYldQfoQ2Qe3Eiww/o.jpg,"240 California St, San Francisco, CA 94111"
128,Jiangnan Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/VuW5zgn8bgMKQu6JOcmBIQ/o.jpg,"3420 Balboa St, San Francisco, CA 94121"
